Id,ict-index,influence,creativity,threat,value_form,web_name,now_cost,position,team,minutes,bps,points-per-game,points-last-game,playing-chance,was_home,clean_sheets,assists
258,2.0,19.6,0.4,0.0,0.4,Lascelles,45,DEF,NEW,90,13,2.0,2,,True,0,0
415,5.2,21.8,29.8,0.0,0.5,Moutinho,55,MID,WOL,90,11,3.0,3,,False,1,0
4,5.1,38.4,12.3,0.0,2.4,Maitland-Niles,50,DEF,ARS,90,38,12.0,12,,False,1,1
5,2.1,20.2,0.4,0.0,1.6,Sokratis,50,DEF,ARS,90,28,8.0,8,,False,1,0
6,3.4,14.2,15.6,4.0,1.4,Monreal,50,DEF,ARS,90,27,7.0,7,,False,1,0
11,12.2,37.4,6.5,78.0,0.5,Aubameyang,110,FWD,ARS,90,25,6.0,6,,False,1,0
349,8.9,17.8,20.3,51.0,1.0,Sissoko,50,MID,TOT,90,13,5.0,5,,True,0,1
14,1.8,18.0,0.0,0.0,1.4,Leno,50,GKP,ARS,90,27,7.0,7,,False,1,0
271,3.4,22.4,12.0,0.0,0.4,Hayden,45,MID,NEW,90,20,2.0,2,,True,0,0
273,3.1,23.8,0.1,7.0,0.0,Godfrey,45,DEF,NOR,90,18,0.0,0,100,False,0,0
18,4.5,15.8,24.2,5.0,0.4,Xhaka,55,MID,ARS,90,11,2.0,2,,False,1,0
276,4.9,24.2,25.1,0.0,0.0,Lewis,45,DEF,NOR,90,15,0.0,0,,False,0,0
21,3.6,21.2,14.4,0.0,0.7,Guendouzi,45,MID,ARS,90,15,3.0,3,,False,1,0
22,1.4,13.4,1.0,0.0,0.2,El Mohamady,45,DEF,AVL,90,10,1.0,1,,False,0,0
24,2.5,24.2,1.0,0.0,0.2,Taylor,45,DEF,AVL,90,13,1.0,1,,False,0,0
283,9.9,34.2,40.5,24.0,0.7,Buenda,60,MID,NOR,90,16,4.0,4,,False,0,1
28,2.7,16.4,10.8,0.0,0.3,Hourihane,60,MID,AVL,81,12,2.0,2,,False,0,0
29,4.9,27.0,22.1,0.0,0.3,Grealish,60,MID,AVL,90,22,2.0,2,,False,0,0
286,1.2,11.4,0.6,0.0,0.4,McLean,50,MID,NOR,90,12,2.0,2,,False,0,0
31,8.7,49.6,13.4,24.0,1.3,McGinn,55,MID,AVL,90,23,7.0,7,,False,0,0
432,4.4,17.2,26.3,0.0,0.4,Kovacic,55,MID,CHE,90,22,2.0,2,,False,0,0
475,1.5,12.8,1.3,1.0,1.3,Burn,45,DEF,BHA,90,23,6.0,6,,False,1,0
37,2.5,22.6,0.2,2.0,1.2,Duffy,50,DEF,BHA,90,26,6.0,6,,False,1,0
38,2.8,13.0,12.6,2.0,1.3,Montoya,45,DEF,BHA,90,21,6.0,6,,False,1,0
295,2.2,19.6,0.3,2.0,0.4,Egan,45,DEF,SHU,90,16,2.0,2,,False,0,0
470,2.2,11.6,10.0,0.0,0.2,Douglas Luiz,45,MID,AVL,8,3,1.0,1,,False,0,0
291,1.5,10.2,3.1,2.0,0.4,Stevens,50,DEF,SHU,90,11,2.0,2,,False,0,0
42,5.1,35.8,13.3,2.0,2.4,Dunk,45,DEF,BHA,90,41,11.0,11,,False,1,1
391,4.2,10.4,6.8,25.0,0.3,Lanzini,65,MID,WHU,90,16,2.0,2,,True,0,0
46,5.8,40.0,0.5,17.0,1.2,Andone,50,FWD,BHA,26,27,6.0,6,,False,0,0
47,2.5,25.4,0.0,0.0,2.0,Ryan,45,GKP,BHA,90,29,9.0,9,,False,1,0
304,5.1,16.4,1.3,33.0,0.2,Vestergaard,50,DEF,SOU,90,13,1.0,1,,False,0,0
307,4.1,20.4,10.8,10.0,0.2,Bednarek,45,DEF,SOU,90,13,1.0,1,,False,0,0
308,1.3,10.6,0.1,2.0,0.2,Stephens,45,DEF,SOU,72,10,1.0,1,,False,0,0
54,4.8,30.8,16.3,1.0,1.2,Prpper,50,MID,BHA,90,26,6.0,6,,False,1,1
55,1.6,13.8,1.8,0.0,0.6,March,50,MID,BHA,90,15,3.0,3,,False,1,0
57,2.6,15.0,11.3,0.0,0.7,Stephens,45,MID,BHA,90,11,3.0,3,,False,1,0
58,1.8,14.2,0.1,4.0,0.4,Steve Cook,50,DEF,BOU,90,12,2.0,2,100,True,0,0
59,6.0,16.4,21.7,22.0,0.4,Ak,50,DEF,BOU,90,19,2.0,2,,True,0,0
61,11.7,47.4,1.2,68.0,2.2,Mepham,45,DEF,BOU,90,24,10.0,10,,True,0,0
65,4.1,21.0,16.6,3.0,0.5,Rico,40,DEF,BOU,90,13,2.0,2,,True,0,0
471,1.4,13.6,0.0,0.0,0.4,Henderson,45,GKP,SHU,90,12,2.0,2,,False,0,0
353,1.6,12.6,3.8,0.0,0.2,Holebas,50,DEF,WAT,90,7,1.0,1,,True,0,0
