Id,ict-index,influence,creativity,threat,value_form,web_name,now_cost,minutes,bps,points-per-game,playing-chance
512,21.1,67.0,58.9,85.0,0.3,Jes,60,326,53,3.6,
513,12.3,66.6,46.8,9.0,0.1,Martins Indi,50,301,59,1.0,
2,16.5,165.2,0.0,0.0,1.3,Cech,55,540,126,4.7,
4,15.1,109.6,19.6,21.0,1.1,Koscielny,60,360,106,4.8,100
518,19.2,80.2,18.4,93.0,0.7,Wood,66,299,53,4.8,
7,28.2,65.4,119.0,97.0,1.1,Bellern,59,540,111,3.7,
8,9.4,33.2,36.1,25.0,0.5,Gibbs,50,207,36,2.7,100
10,21.1,147.8,36.1,26.0,1.4,Monreal,54,540,153,4.3,
11,4.9,29.0,2.4,18.0,0.0,Holding,47,156,30,0.0,
12,17.0,97.6,23.5,49.0,1.1,Mustafi,54,360,97,5.0,100
13,24.0,112.2,67.6,60.0,1.2,Kolasinac,60,425,133,5.8,
14,17.1,27.4,81.1,61.0,0.2,Snchez,119,182,40,2.3,100
527,10.9,33.4,12.6,63.0,0.6,Carrillo,55,296,47,2.8,
16,34.8,55.8,226.5,66.0,0.1,zil,94,367,63,1.8,75
18,35.4,110.0,80.3,163.0,0.7,Ramsey,70,404,94,4.0,100
19,26.6,86.8,102.2,77.0,0.2,Chamberlain,58,308,76,1.5,
532,3.4,16.0,9.6,8.0,-0.1,Aurier,60,96,2,-0.5,
21,5.5,10.8,45.0,0.0,0.2,Iwobi,51,90,20,2.0,100
22,12.6,40.0,63.3,23.0,0.2,Elneny,45,166,35,2.7,
23,36.7,111.0,182.3,74.0,0.5,Xhaka,56,528,95,3.7,
25,18.3,48.4,75.1,58.0,0.1,Giroud,83,114,44,1.7,100
26,41.1,144.6,77.5,189.0,0.8,Welbeck,75,400,109,5.4,0
28,47.1,167.8,92.3,212.0,0.7,Lacazette,103,417,134,5.0,
29,15.9,159.8,0.0,0.0,0.4,Begovic,45,540,101,2.3,
32,9.9,70.4,11.8,18.0,0.2,Francis,44,304,52,1.3,100
33,14.4,73.6,23.3,47.0,0.1,Steve Cook,49,371,44,0.8,100
34,25.2,135.6,76.9,40.0,0.6,Daniels,49,540,107,3.2,
35,11.7,69.6,40.8,6.0,0.3,Adam Smith,49,460,67,1.0,100
36,2.5,22.6,0.3,2.0,0.0,Mings,44,135,17,0.0,0
38,17.1,123.4,18.6,29.0,0.3,Ak,49,532,88,1.3,100
39,13.8,62.8,39.6,34.0,0.3,Arter,49,450,63,1.6,
40,10.4,22.8,56.2,25.0,0.1,Pugh,48,165,17,1.3,
41,22.1,127.2,58.7,35.0,0.9,Surman,45,450,85,3.6,
42,5.9,20.0,24.3,15.0,0.1,Stanislas,59,90,12,1.0,100
43,8.5,36.2,20.6,28.0,0.3,Gosling,49,271,34,1.8,
45,21.5,64.8,102.9,48.0,0.7,Ibe,49,271,45,2.4,
47,12.0,18.2,55.0,47.0,0.2,Fraser,54,268,29,1.8,100
49,9.3,10.6,19.9,63.0,0.1,Afobe,57,169,15,1.2,100
51,31.5,75.2,57.9,182.0,0.5,King,72,528,50,2.8,100
52,16.3,46.2,36.1,84.0,0.5,Defoe,78,350,55,2.5,100
54,8.5,86.0,0.0,0.0,0.9,Ryan,45,540,101,3.5,
55,26.1,148.0,27.7,85.0,0.7,Dunk,44,540,104,2.5,
56,31.9,174.4,22.2,122.0,0.6,Duffy,45,540,111,3.2,
58,11.2,71.4,37.6,2.0,1.0,Bruno,45,376,81,3.2,100
60,3.6,28.8,4.7,2.0,0.2,Rosenior,40,163,22,1.0,
522,10.0,24.6,27.2,49.0,0.5,Sabiri,50,158,24,2.7,
62,20.8,46.4,98.1,64.0,0.3,Knockaert,58,367,50,1.8,100
63,21.1,96.8,38.7,75.0,0.7,Stephens,45,540,92,2.8,
66,35.2,132.2,95.8,123.0,0.9,March,50,526,92,3.5,
69,5.1,11.8,15.5,24.0,0.1,Murphy,49,166,25,1.5,
70,42.5,150.4,208.0,67.0,1.6,Gro,57,497,122,5.8,
72,23.7,110.4,24.3,104.0,1.5,Hemed,50,435,81,4.3,100
524,5.6,23.2,27.8,5.0,0.2,Burke,55,35,16,2.5,75
74,5.3,53.4,0.0,0.0,0.1,Heaton,49,305,48,2.0,0
76,17.1,122.0,43.9,3.0,1.0,Lowton,45,540,104,3.7,
77,34.2,199.8,23.1,119.0,1.0,Mee,45,540,97,3.0,100
78,25.3,153.6,70.9,28.0,1.3,Ward,45,540,121,4.8,
79,22.8,200.4,4.7,21.0,1.0,Tarkowski,45,540,105,3.0,100
82,10.7,48.6,21.8,37.0,0.8,Arfield,49,271,40,3.5,
84,9.2,27.6,56.8,8.0,0.3,Gudmundsson,50,370,36,1.7,
85,17.6,103.8,69.3,3.0,0.5,Defour,55,501,92,2.8,
86,10.8,10.2,51.1,46.0,0.2,Hendrick,54,253,22,2.3,100
87,40.1,113.2,223.9,63.0,0.7,Brady,55,527,85,3.7,
90,20.6,141.8,55.8,8.0,0.4,Cork,45,540,86,2.5,
91,20.8,75.2,31.2,101.0,0.2,Vokes,60,302,63,3.8,100
92,17.7,42.8,41.9,96.0,0.6,Gray,63,440,47,3.2,
94,9.6,94.6,0.0,0.0,0.9,Courtois,55,540,113,4.5,
97,30.1,186.2,94.2,20.0,1.4,Azpilicueta,65,540,180,6.5,
98,2.9,28.0,1.7,0.0,0.4,Cahill,63,134,27,1.7,100
99,14.5,121.2,8.0,16.0,0.1,Zouma,55,450,88,2.6,0
100,39.7,175.0,96.8,125.0,0.4,Alonso,70,508,128,5.0,
101,16.2,103.0,18.6,41.0,0.3,David Luiz,59,446,104,4.2,0
102,20.4,64.0,61.2,78.0,0.7,Moses,65,431,76,4.2,100
103,13.3,107.8,16.0,9.0,0.7,Rdiger,59,450,105,4.0,
104,8.0,16.6,38.4,25.0,0.1,Hazard,105,50,11,1.0,100
105,35.7,97.2,212.2,47.0,0.3,Fbregas,69,359,88,3.2,100
106,34.9,79.0,157.0,114.0,0.3,Willian,70,424,79,3.2,
107,19.5,116.4,52.7,26.0,0.7,Matic,50,540,112,3.3,
108,19.8,58.8,71.7,67.0,0.3,Loftus-Cheek,45,347,61,2.0,100
109,20.4,62.8,62.9,77.0,0.5,Pedro,79,260,50,3.6,100
111,32.5,154.2,124.2,46.0,1.0,Kant,51,540,131,3.7,
112,19.6,77.4,26.0,93.0,0.4,Chalobah,45,429,37,2.4,
115,17.1,171.0,0.0,0.0,0.4,Hennessey,45,540,108,3.0,
117,2.7,17.4,0.9,9.0,0.0,Tomkins,44,142,16,1.3,100
118,29.0,131.8,34.4,124.0,0.2,Dann,48,540,83,1.2,
119,17.3,81.6,61.0,30.0,0.2,Ward,48,450,66,0.8,
525,9.2,58.8,13.3,20.0,0.7,Hoedt,50,270,60,3.3,
123,14.4,60.6,53.5,30.0,0.2,Schlupp,48,276,35,1.0,
124,17.3,65.2,67.4,39.0,0.0,van Aanholt,53,308,50,0.8,
125,20.4,37.8,90.0,77.0,0.3,Puncheon,48,466,24,1.2,
126,7.1,12.0,12.5,46.0,0.0,Zaha,67,90,-1,2.0,0
533,5.9,39.8,15.3,4.0,0.4,Krychowiak,50,270,37,2.0,
129,21.9,48.6,123.1,47.0,0.3,Cabaye,55,268,50,1.3,100
131,27.7,67.4,127.3,81.0,0.4,Townsend,57,495,73,1.8,
132,8.7,46.2,32.7,8.0,0.2,Milivojevic,47,289,44,1.4,
134,21.3,18.8,63.4,133.0,0.2,Benteke,77,521,-11,1.5,
135,15.3,143.6,10.0,0.0,0.4,Pickford,50,540,111,3.0,100
519,7.7,47.6,28.7,1.0,0.4,Clucas,50,315,44,2.3,
138,19.9,86.6,109.6,2.0,0.2,Baines,59,540,83,2.0,
535,3.3,14.8,15.0,3.0,0.3,Sanches,50,130,12,1.7,
140,8.9,80.0,2.8,6.0,0.0,Jagielka,49,352,73,2.5,
143,16.8,131.6,1.4,35.0,0.1,Williams,54,465,80,1.8,
144,13.0,43.0,33.9,53.0,0.2,Holgate,44,270,31,1.7,100
146,14.8,132.0,5.2,10.0,0.1,Keane,54,450,99,2.4,
151,20.5,91.8,44.3,68.0,0.5,Barry,45,450,59,2.4,100
152,3.0,18.2,11.5,0.0,0.0,Besic,44,46,10,1.0,
154,10.6,81.0,21.4,4.0,0.3,Schneiderlin,50,447,61,1.4,100
155,13.4,87.4,29.4,17.0,0.3,Gueye,50,514,91,1.8,100
156,8.2,37.6,22.9,23.0,0.6,Davies,53,280,38,2.2,
158,4.8,10.8,19.0,19.0,0.1,Klaassen,72,187,10,1.0,100
159,30.6,51.8,112.3,143.0,0.3,Calvert-Lewin,50,357,35,2.5,
161,37.3,102.8,137.5,132.0,0.2,Rooney,74,494,75,3.7,
163,11.6,116.0,0.0,0.0,0.7,Lssl,46,540,137,5.5,
164,25.1,203.0,21.3,26.0,0.8,Schindler,46,540,158,5.3,100
165,11.7,90.4,20.6,7.0,1.0,Lwe,45,512,127,5.3,
166,19.7,79.6,110.3,6.0,0.6,Smith,50,506,91,3.8,
171,17.1,120.8,1.2,49.0,0.7,Zanka,46,540,127,5.3,
172,46.3,188.0,215.6,59.0,0.4,Mooy,57,540,130,4.3,100
173,9.8,23.4,38.1,37.0,0.2,van La Parra,49,245,19,1.3,75
174,2.6,23.2,3.0,0.0,0.3,Hogg,44,87,32,2.0,100
175,10.8,56.2,37.5,14.0,0.2,Billing,45,332,46,2.0,
181,17.0,57.0,58.6,57.0,0.4,Kachunga,60,483,55,3.2,
182,36.7,57.8,95.8,213.0,0.4,Ince,59,540,57,2.7,
183,6.1,11.0,23.3,27.0,0.0,Palmer,53,123,3,1.0,0
184,3.7,17.6,12.0,9.0,0.1,Williams,49,152,24,1.3,0
186,4.2,22.4,14.0,6.0,0.1,Quaner,45,57,21,1.8,0
187,15.3,55.0,36.3,61.0,0.8,Depoitre,52,187,40,4.0,75
188,25.9,101.2,43.8,114.0,0.1,Mounie,60,355,53,4.3,0
189,17.4,173.2,0.0,0.0,0.4,Schmeichel,50,540,125,3.8,
191,17.4,142.2,22.3,10.0,0.3,Morgan,45,540,81,1.5,100
192,14.4,66.2,66.8,10.0,0.1,Fuchs,49,360,64,2.0,100
193,14.9,125.0,20.1,4.0,0.3,Simpson,45,540,89,1.8,
