Id,ict-index,influence,creativity,threat,value_form,web_name,now_cost,position,team,minutes,bps,points-per-game,points-last-game,playing-chance,big_chances_created,attempted_passes,completed_passes,was_home,clean_sheets,assists,open_play_crosses,dribbles
2,18.0,180.8,0.0,0.0,0.5,Cech,55,GK,ARS,810,168,4.0,1,,0,25,15,False,0,0,0,0
4,21.8,163.8,32.4,21.0,0.1,Koscielny,60,DF,ARS,534,138,3.5,0,100,0,60,56,False,0,0,0,1
5,10.8,90.4,0.8,17.0,0.7,Mertesacker,49,DF,ARS,180,47,5.0,1,100,0,47,43,False,0,0,0,0
7,40.6,93.6,157.7,154.0,0.7,Bellern,59,DF,ARS,810,173,3.9,1,,1,38,32,False,0,0,1,1
8,20.2,91.8,60.1,50.0,0.3,Gibbs,50,DF,WBA,477,74,2.2,2,100,0,32,24,False,0,0,1,0
10,41.6,282.6,70.0,63.0,1.4,Monreal,56,DF,ARS,810,245,5.4,7,,0,80,72,False,0,0,0,0
11,10.4,56.6,29.6,18.0,0.5,Holding,47,DF,ARS,251,65,1.8,0,,0,0,0,False,0,0,0,0
12,24.6,138.2,38.4,69.0,0.4,Mustafi,54,DF,ARS,450,128,5.2,0,0,0,0,0,False,0,0,0,0
13,39.3,139.4,114.6,138.0,0.5,Kolasinac,60,DF,ARS,695,180,4.6,1,100,0,65,49,False,0,0,0,0
14,58.4,134.0,210.9,238.0,0.5,Snchez,118,MD,ARS,362,96,4.5,12,100,1,49,35,False,0,1,1,6
16,58.6,134.6,339.6,112.0,0.5,zil,93,MD,ARS,477,120,3.3,13,100,2,56,50,False,0,1,0,0
18,65.2,190.6,141.1,320.0,0.7,Ramsey,70,MD,ARS,584,140,4.9,12,100,1,49,43,False,0,1,0,0
19,35.7,104.4,151.9,103.0,0.2,Chamberlain,57,MD,LIV,385,90,1.3,1,,0,17,14,False,0,0,1,2
21,26.8,74.4,111.4,82.0,0.7,Iwobi,51,MD,ARS,250,67,3.8,0,100,0,0,0,False,0,0,0,0
22,14.8,51.0,74.1,24.0,0.2,Elneny,44,MD,ARS,263,54,2.2,0,,0,0,0,False,0,0,0,0
23,53.7,171.4,241.7,124.0,0.8,Xhaka,55,MD,ARS,790,154,3.9,5,,0,99,83,False,0,1,0,2
24,3.5,18.6,14.8,2.0,0.2,Wilshere,54,MD,ARS,13,13,4.0,4,100,0,17,13,False,0,1,0,0
25,21.2,50.6,79.2,82.0,0.1,Giroud,82,ST,ARS,155,48,1.5,0,100,0,0,0,False,0,0,0,0
26,46.0,153.0,111.6,195.0,0.1,Welbeck,74,ST,ARS,460,118,4.8,0,0,0,0,0,False,0,0,0,0
28,67.9,207.6,128.5,344.0,0.3,Lacazette,103,ST,ARS,630,171,4.4,6,,0,22,15,False,0,0,0,1
29,22.6,216.8,10.0,0.0,0.7,Begovic,45,GK,BOU,810,151,2.7,2,,0,27,14,False,0,0,0,0
32,19.3,156.0,15.6,22.0,0.7,Francis,44,DF,BOU,574,100,2.1,2,100,0,59,45,False,0,0,0,0
33,18.3,112.4,23.3,47.0,0.1,Steve Cook,48,DF,BOU,489,57,0.9,1,100,0,5,1,False,0,0,0,0
34,36.1,186.2,129.6,45.0,0.7,Daniels,49,DF,BOU,810,159,3.2,2,,0,32,25,False,0,0,0,0
35,22.2,112.8,92.7,16.0,0.6,Adam Smith,48,DF,BOU,714,116,1.7,2,100,0,42,30,False,0,0,0,1
36,2.5,22.6,0.3,2.0,0.0,Mings,43,DF,BOU,135,17,0.0,0,0,0,0,0,False,0,0,0,0
38,25.5,201.6,19.6,33.0,0.9,Ak,49,DF,BOU,802,155,2.3,2,100,0,46,38,False,0,0,0,1
39,13.8,63.2,39.6,34.0,0.1,Arter,49,MD,BOU,463,66,1.5,1,100,0,7,5,False,0,0,0,0
40,17.2,22.8,74.0,79.0,0.2,Pugh,48,MD,BOU,236,21,1.4,1,,0,1,0,False,0,0,0,0
41,31.5,187.6,73.6,54.0,1.0,Surman,46,MD,BOU,720,133,4.0,9,,0,62,48,False,0,0,0,0
42,26.6,99.8,80.1,87.0,1.0,Stanislas,59,MD,BOU,341,72,4.8,13,100,0,22,14,False,0,1,1,2
43,9.2,41.6,22.0,28.0,0.1,Gosling,49,MD,BOU,361,40,1.8,0,100,0,0,0,False,0,0,0,0
45,29.0,75.6,128.8,87.0,0.3,Ibe,49,MD,BOU,393,63,2.0,2,,0,20,14,False,0,0,0,1
46,11.1,35.8,48.1,27.0,0.5,Lewis Cook,44,MD,BOU,248,39,2.0,1,,0,41,31,False,0,0,0,1
47,14.3,18.6,55.6,69.0,0.1,Fraser,52,MD,BOU,270,32,1.6,0,50,0,0,0,False,0,0,0,0
49,13.1,18.2,22.3,91.0,0.4,Afobe,57,ST,BOU,267,35,1.7,5,100,0,15,9,False,0,1,0,0
51,45.0,101.0,109.8,239.0,0.2,King,71,ST,BOU,708,72,2.6,0,100,0,0,0,False,0,0,0,0
52,26.4,55.0,69.2,143.0,0.1,Defoe,77,ST,BOU,446,59,2.3,0,100,0,0,0,False,0,0,0,0
54,17.5,175.6,0.0,0.0,0.9,Ryan,45,GK,BHA,810,166,3.7,6,,0,28,13,False,1,0,0,0
55,39.7,221.6,29.1,146.0,0.6,Dunk,44,DF,BHA,810,149,2.6,6,,0,20,16,False,1,0,0,0
56,43.3,242.0,22.9,168.0,1.0,Duffy,45,DF,BHA,792,165,3.6,7,75,0,31,26,False,1,0,0,0
58,17.3,111.0,56.4,4.0,0.7,Bruno,45,DF,BHA,646,126,3.3,8,100,0,41,35,False,1,0,1,1
59,3.8,32.6,3.5,2.0,0.5,Bong,44,DF,BHA,180,40,3.5,6,100,0,27,16,False,1,0,0,1
60,3.6,28.8,4.7,2.0,0.0,Rosenior,40,DF,BHA,163,22,1.0,0,,0,0,0,False,0,0,0,0
62,39.0,103.0,147.9,139.0,0.7,Knockaert,57,MD,BHA,554,104,2.6,3,100,1,30,28,False,1,0,0,2
63,30.2,155.6,67.9,78.0,0.5,Stephens,45,MD,BHA,810,143,2.7,3,,1,44,37,False,1,0,0,0
66,38.4,147.2,100.0,136.0,0.4,March,50,MD,BHA,689,101,3.0,1,,0,6,3,False,0,0,0,0
69,5.1,11.8,15.5,24.0,0.0,Murphy,48,MD,BHA,166,25,1.5,0,,0,0,0,False,0,0,0,0
70,61.3,223.6,318.7,71.0,0.7,Gro,58,MD,BHA,753,181,5.3,6,,1,29,20,False,1,1,0,0
71,19.9,72.2,24.0,111.0,0.9,Murray,57,ST,BHA,303,45,2.9,13,100,0,26,11,False,1,0,0,0
72,23.7,110.4,24.3,104.0,0.0,Hemed,50,ST,BHA,435,81,4.3,0,0,0,0,0,False,0,0,0,0
74,5.3,53.4,0.0,0.0,0.0,Heaton,48,GK,BUR,305,48,2.0,0,0,0,0,0,False,0,0,0,0
76,25.1,175.2,54.0,20.0,0.7,Lowton,45,DF,BUR,810,146,3.4,1,,0,19,13,False,0,0,0,2
77,45.5,270.8,24.4,159.0,0.7,Mee,45,DF,BUR,810,147,3.1,1,100,0,17,12,False,0,0,0,0
78,36.1,216.6,110.5,34.0,1.1,Ward,47,DF,BUR,800,182,4.9,1,,0,21,13,False,0,0,0,0
79,33.0,279.0,15.6,33.0,0.6,Tarkowski,45,DF,BUR,810,151,2.9,0,100,0,17,8,False,0,0,0,0
82,16.2,61.0,30.9,70.0,0.3,Arfield,49,MD,BUR,496,53,2.7,2,,0,13,10,False,0,0,0,0
84,17.5,50.4,88.9,36.0,0.3,Gudmundsson,50,MD,BUR,434,56,1.9,1,,0,7,7,False,0,0,0,1
85,28.9,139.4,128.6,20.0,0.3,Defour,55,MD,BUR,764,128,2.4,2,,0,23,16,False,0,0,0,0
86,17.9,46.4,60.0,72.0,0.7,Hendrick,54,MD,BUR,455,58,3.2,2,100,0,14,11,False,0,0,0,1
87,53.3,139.2,293.9,99.0,0.4,Brady,55,MD,BUR,797,110,3.2,2,,0,12,7,False,0,0,1,0
90,33.3,204.4,63.7,64.0,0.4,Cork,45,MD,BUR,810,133,2.3,1,,0,23,20,False,0,0,0,2
91,22.6,75.2,32.7,119.0,0.1,Vokes,59,ST,BUR,347,64,3.3,0,100,0,0,0,False,0,0,0,0
92,20.1,42.8,45.2,118.0,0.2,Gray,63,ST,WAT,518,57,2.6,1,,0,1,1,False,0,0,0,0
94,16.5,164.0,0.0,0.0,0.4,Courtois,54,GK,CHE,810,162,3.8,2,,0,28,23,True,0,0,0,0
97,45.8,274.6,110.1,72.0,0.4,Azpilicueta,66,DF,CHE,810,233,5.2,7,,0,32,23,True,0,0,0,0
98,10.7,90.2,14.9,2.0,0.2,Cahill,63,DF,CHE,404,75,1.5,1,100,0,39,34,True,0,0,0,0
99,22.9,194.8,9.4,25.0,0.1,Zouma,55,DF,STK,720,134,1.9,1,100,0,39,29,True,0,0,0,2
100,52.6,225.2,129.8,171.0,0.2,Alonso,69,DF,CHE,755,158,3.8,1,,0,15,11,True,0,0,0,0
101,22.9,160.6,20.3,49.0,0.1,David Luiz,59,DF,CHE,626,136,3.3,1,75,0,44,36,True,0,0,0,0
102,20.8,65.8,63.0,78.0,0.0,Moses,65,DF,CHE,470,79,3.7,0,0,0,0,0,True,0,0,0,0
103,18.7,158.4,17.4,11.0,0.1,Rdiger,59,DF,CHE,630,136,3.1,0,,0,53,46,True,0,0,0,1
104,22.8,65.4,115.7,46.0,0.3,Hazard,106,MD,CHE,301,52,2.0,5,100,0,44,37,True,0,1,0,8
105,61.4,184.6,341.4,87.0,0.4,Fbregas,69,MD,CHE,629,143,3.1,2,100,0,79,66,True,0,0,1,0
106,39.4,92.8,179.5,122.0,0.3,Willian,68,MD,CHE,565,105,2.9,4,,0,12,10,True,0,1,0,2
107,29.4,155.2,88.9,50.0,0.5,Matic,50,MD,MUN,810,149,3.1,2,,0,118,104,False,0,0,0,1
108,20.7,60.6,72.5,73.0,0.1,Loftus-Cheek,45,MD,CRY,360,66,1.8,1,100,0,7,6,False,0,0,0,1
109,34.7,127.8,112.1,106.0,0.6,Pedro,79,MD,CHE,396,94,4.0,12,100,0,34,28,True,0,1,2,1
111,37.6,173.6,152.0,50.0,0.1,Kant,50,MD,CHE,630,153,3.4,0,0,0,0,0,True,0,0,0,0
112,19.6,77.4,26.0,93.0,0.0,Chalobah,45,MD,WAT,429,37,2.4,0,0,0,0,0,False,0,0,0,0
113,15.4,72.2,13.6,68.0,0.6,Batshuayi,81,ST,CHE,183,52,2.5,12,,0,7,5,True,0,0,0,1
115,19.7,197.2,0.0,0.0,0.1,Hennessey,44,GK,CRY,630,124,2.7,0,100,0,0,0,False,0,0,0,0
116,3.2,32.2,0.0,0.0,0.4,Speroni,40,GK,CRY,180,29,2.5,2,,0,26,6,False,0,0,0,0
117,2.7,17.4,0.9,9.0,0.0,Tomkins,43,DF,CRY,142,16,1.3,0,100,0,0,0,False,0,0,0,0
118,32.9,155.0,35.0,139.0,0.2,Dann,47,DF,CRY,720,101,1.3,2,100,0,36,26,False,0,0,0,0
119,27.0,137.4,98.1,34.0,0.3,Ward,48,DF,CRY,720,103,1.0,2,,0,45,27,False,0,0,1,0
121,4.0,40.0,0.3,0.0,0.0,Delaney,43,DF,CRY,90,19,0.0,0,,0,0,0,False,0,0,0,0
123,20.6,79.4,70.5,56.0,0.4,Schlupp,47,DF,CRY,507,53,1.3,2,,0,33,25,False,0,0,0,1
124,23.7,94.6,92.4,49.0,0.2,van Aanholt,52,DF,CRY,578,73,0.9,1,,0,33,24,False,0,0,0,1
125,24.2,46.2,93.3,104.0,0.2,Puncheon,47,MD,CRY,549,36,1.3,0,,0,0,0,False,0,0,0,0
126,24.7,62.2,35.4,151.0,0.5,Zaha,67,MD,CRY,256,28,4.0,3,100,0,13,6,False,1,0,0,2
127,13.6,37.6,46.4,54.0,0.4,McArthur,44,MD,CRY,448,46,1.6,2,100,0,37,32,False,0,0,0,2
129,35.2,91.4,187.3,73.0,0.6,Cabaye,54,MD,CRY,533,97,2.1,1,100,0,41,28,False,0,0,0,0
130,6.3,14.2,26.2,23.0,0.2,Sako,49,MD,CRY,105,22,1.3,1,100,0,2,2,False,0,0,0,0
131,45.9,112.6,228.0,117.0,0.4,Townsend,57,MD,CRY,765,115,1.9,2,,0,32,26,False,0,0,2,4
132,22.4,101.0,76.3,47.0,0.4,Milivojevic,46,MD,CRY,559,85,1.5,2,,0,27,22,False,0,0,0,1
134,21.3,18.8,63.4,133.0,0.0,Benteke,76,ST,CRY,521,-11,1.5,0,0,0,0,0,False,0,0,0,0
135,24.8,238.0,10.0,0.0,0.5,Pickford,49,GK,EVE,810,168,2.8,3,100,0,35,14,True,0,0,0,0
